tag	id	drop_type	drop_anim_type	drop_radius	drop_height	UNK_0	drop_mesh1	drop_mesh2	drop_mesh3	drop_tex1	drop_tex2	drop_tex3	drop_extratex1	newdata[0]	newdata[1]	newdata[2]	newdata[3]	newdata[4]	newdata[5]	newdata[6]	newdata[7]	icon[0]	icon[1]	icon[2]	icon[3]	icon[4]	durability	weight	material	crystallizable	UNK_1	UNK_2_cnt	UNK_2_tab[0]	UNK_2_tab[1]	UNK_2_tab[2]	UNK_2_tab[3]	UNK_2_tab[4]	UNK_2_tab[5]	UNK_3[0]	UNK_3[1]	UNK_3[2]	fort	mesh_tex_pair_cntm	mesh_tex_pair_m[0]	mesh_tex_pair_m[1]	mesh_tex_pair_cntt	mesh_tex_pair_t[0]	mesh_tex_pair_t[1]	mesh_tex_pair_t[2]	mesh_tex_pair_t[3]	item_sound	equip_sound	stackable	family	grade
2	17	0	3	8	4	0	dropitems.drop_quiver_m00			dropitemstex.drop_quiver_t00				0	0	0	0	0	1	0	0	icon.etc_wooden_quiver_i00					-1	6	13	0	0	0							1	0	0		1	LineageWeapons.wooden_arrow_m00_et		1	LineageWeaponsTex.wooden_arrow_t00_et				ItemSound.itemdrop_arrow		2	2	0
2	53	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	54	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	55	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	56	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	57	0	5	4	1	0	DropItems.coin_m00			DropItemsTex.coin_t00	DropItemsTex.coin_t01			0	0	0	0	0	2	0	0	icon.etc_adena_i00					-1	0	3	0	0	0							1	0	0		1			1					ItemSound2.itemdrop_etc_money_2		3	0	0
2	65	0	3	1	6	0	dropitems.drop_lesser_potion_m00			dropitemstex.drop_lesser_potion_red_t00				0	0	0	0	0	1	0	0	icon.etc_potion_red_i00					-1	80	53	0	0	0							1	0	0		1			1					ItemSound.itemdrop_potion		2	3	0
2	136	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	137	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	138	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	139	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	140	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	141	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	163	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i00					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	170	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_pi_gift_box_i02					-1	100	0	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox		2	0	0
2	686	0	3	5	6	0	dropitems.drop_jewel_box_m00			dropitemstex.drop_jewel_box_t00				0	0	0	0	0	1	0	0	icon.etc_branch_blue_i00					-1	100	13	0	0	0							1	0	0		1			1					ItemSound.itemdrop_jewelbox	ItemSound.itemequip_armor_cloth	0	0	0
2	687	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.etc_scroll_gray_i00					-1	0	18	0	0	1	1						1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
2	688	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.etc_piece_of_cloth_white_i00					-1	0	17	0	0	1	1						1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
2	689	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.etc_spell_books_red_i00					-1	0	18	0	0	1	2						1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
2	690	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.item_normal06					-1	0	18	0	0	0							1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
2	691	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.item_normal07					-1	0	18	0	0	0							1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
2	692	0	0	2	5	0	dropitems.drop_sack_m00			dropitemstex.drop_sack_t00				0	0	0	0	0	1	0	0	icon.item_canuse37					-1	0	18	0	0	0							1	0	0		1			1					ItemSound.itemdrop_sack		0	0	0
