skill_id	level	id2	cnt0	list1[0]	list1[1]	list1[2]	list1[3]	list1[4]	list1[5]	list1[6]	list1[7]	val[0]	val[1]	val[2]	val[3]	val[4]	val[5]	val[6]	val[7]	cnt1	list2	list3	cnt2	list4[0]	list4[1]	list4[2]	list4[3]	list4[4]	list4[5]	list4[6]	list4[7]	list4[8]	list4[9]	list5[0]	list5[1]	list5[2]	list5[3]	list5[4]	list5[5]	list5[6]	list5[7]	list5[8]	list5[9]	unk0
3	1	2	2	1	2							0	0	0	0	0	9	0	0	0			0																					0
3	2	2	2	1	2							0	0	0	0	0	9	0	0	0			0																					0
3	3	2	2	1	2							0	0	0	0	0	10	0	0	0			0																					0
3	4	2	2	1	2							0	0	0	0	0	11	0	0	0			0																					0
3	5	2	2	1	2							0	0	0	0	0	12	0	0	0			0																					0
3	6	2	2	1	2							0	0	0	0	0	13	0	0	0			0																					0
3	7	2	2	1	2							0	0	0	0	0	16	0	0	0			0																					0
3	8	2	2	1	2							0	0	0	0	0	16	0	0	0			0																					0
3	9	2	2	1	2							0	0	0	0	0	17	0	0	0			0																					0
4	1	0	0									0	0	0	0	0	10	0	0	0			0																					0
4	2	0	0									0	0	0	0	0	21	0	0	0			0																					0
16	1	2	1	3								0	0	0	0	0	8	0	0	0			0																					0
16	2	2	1	3								0	0	0	0	0	8	0	0	0			0																					0
16	3	2	1	3								0	0	0	0	0	9	0	0	0			0																					0
16	4	2	1	3								0	0	0	0	0	10	0	0	0			0																					0
16	5	2	1	3								0	0	0	0	0	11	0	0	0			0																					0
16	6	2	1	3								0	0	0	0	0	11	0	0	0			0																					0
16	7	2	1	3								0	0	0	0	0	14	0	0	0			0																					0
16	8	2	1	3								0	0	0	0	0	15	0	0	0			0																					0
16	9	2	1	3								0	0	0	0	0	15	0	0	0			0																					0
16	10	2	1	3								0	0	0	0	0	18	0	0	0			0																					0
16	11	2	1	3								0	0	0	0	0	18	0	0	0			0																					0
16	12	2	1	3								0	0	0	0	0	18	0	0	0			0																					0
16	13	2	1	3								0	0	0	0	0	19	0	0	0			0																					0
16	14	2	1	3								0	0	0	0	0	20	0	0	0			0																					0
16	15	2	1	3								0	0	0	0	0	21	0	0	0			0																					0
16	16	2	1	3								0	0	0	0	0	22	0	0	0			0																					0
16	17	2	1	3								0	0	0	0	0	23	0	0	0			0																					0
16	18	2	1	3								0	0	0	0	0	24	0	0	0			0																					0
16	19	2	1	3								0	0	0	0	0	26	0	0	0			0																					0
16	20	2	1	3								0	0	0	0	0	26	0	0	0			0																					0
16	21	2	1	3								0	0	0	0	0	26	0	0	0			0																					0
16	22	2	1	3								0	0	0	0	0	28	0	0	0			0																					0
16	23	2	1	3								0	0	0	0	0	29	0	0	0			0																					0
16	24	2	1	3								0	0	0	0	0	30	0	0	0			0																					0
21	1	0	0									0	0	0	0	4	16	0	0	0			0																					0
